,BER bits
0,0.376529
1,0.32804
2,0.32845
3,0.264876
4,0.3277865
5,0.2649725
6,0.2650045
7,0.1870875
8,0.328023
9,0.264869
10,0.2646385
11,0.1877705
12,0.2652715
13,0.187269
14,0.187493
15,0.1048145
16,0.3283025
17,0.265241
18,0.2652335
19,0.187953
20,0.2653775
21,0.186892
22,0.1875275
23,0.1049375
24,0.2654075
25,0.187741
26,0.187451
27,0.1041985
28,0.1872965
29,0.104374
30,0.1045295
31,0.0376615
32,0.3282925
33,0.265392
34,0.2641425
35,0.187504
36,0.2649085
37,0.187275
38,0.1873255
39,0.1049365
40,0.265612
41,0.18726
42,0.187123
43,0.104767
44,0.187342
45,0.1045175
46,0.1046945
47,0.037703
48,0.265225
49,0.187989
50,0.1871455
51,0.1045825
52,0.1871385
53,0.104687
54,0.1044935
55,0.0375895
56,0.187053
57,0.104528
58,0.1039985
59,0.0377225
60,0.104963
61,0.037796
62,0.0377025
63,0.005916
64,0.3285105
65,0.2645945
66,0.2645085
67,0.1867365
68,0.2650505
69,0.187542
70,0.187522
71,0.1044705
72,0.2650155
73,0.1870995
74,0.187439
75,0.1047985
76,0.1877645
77,0.104453
78,0.10423
79,0.0378805
80,0.264921
81,0.187141
82,0.186984
83,0.1048545
84,0.1872835
85,0.1049965
86,0.104872
87,0.0379075
88,0.187177
89,0.104403
90,0.104532
91,0.037764
92,0.1046855
93,0.037748
94,0.0375435
95,0.0061265
96,0.264392
97,0.187057
98,0.1866635
99,0.104306
100,0.187323
101,0.104658
102,0.104565
103,0.0377465
104,0.186616
105,0.1044795
106,0.1047105
107,0.037749
108,0.104441
109,0.037882
110,0.037863
111,0.006054
112,0.1879595
113,0.104647
114,0.104381
115,0.0376685
116,0.1045475
117,0.0379325
118,0.0375255
119,0.006084
120,0.104672
121,0.0377325
122,0.037882
123,0.00597
124,0.0378735
125,0.005959
126,0.0060195
127,0.0001865
