,BER bits
0,0.333977
1,0.2597535
2,0.2604545
3,0.17423
4,0.2600635
5,0.174424
6,0.1745835
7,0.0949065
8,0.261
9,0.1747355
10,0.174534
11,0.09136
12,0.17465
13,0.093444
14,0.095008
15,0.0337855
16,0.259695
17,0.181187
18,0.174485
19,0.095943
20,0.1809675
21,0.093514
22,0.0960065
23,0.035004
24,0.1744475
25,0.0937685
26,0.0938475
27,0.0335585
28,0.097866
29,0.034456
30,0.035068
31,0.0066365
32,0.25993
33,0.1745015
34,0.1812215
35,0.0931395
36,0.1738145
37,0.089359
38,0.09344
39,0.033308
40,0.1743445
41,0.091034
42,0.0936565
43,0.03381
44,0.091509
45,0.0332125
46,0.033297
47,0.0065125
48,0.174385
49,0.093887
50,0.0938675
51,0.0340995
52,0.095979
53,0.032791
54,0.034877
55,0.0066455
56,0.0915435
57,0.034511
58,0.0329995
59,0.0066665
60,0.034137
61,0.0068055
62,0.0064875
63,0.0005715
64,0.260048
65,0.1811015
66,0.1746305
67,0.0910555
68,0.1808035
69,0.1008415
70,0.095398
71,0.0361145
72,0.1748125
73,0.0981865
74,0.0913775
75,0.03349
76,0.093761
77,0.0372075
78,0.0351295
79,0.007157
80,0.174322
81,0.0934945
82,0.093903
83,0.0323445
84,0.0957325
85,0.0332615
86,0.034331
87,0.0065635
88,0.091234
89,0.0331935
90,0.0350025
91,0.006358
92,0.0352645
93,0.006649
94,0.0069515
95,0.0005675
96,0.1740205
97,0.094002
98,0.0936595
99,0.0322055
100,0.093651
101,0.033667
102,0.032957
103,0.006916
104,0.093647
105,0.034486
106,0.032368
107,0.006318
108,0.0335585
109,0.006941
110,0.006983
111,0.000575
112,0.091081
113,0.0329375
114,0.035
115,0.006376
116,0.033799
117,0.0064635
118,0.006744
119,0.0005615
120,0.0338085
121,0.006918
122,0.006677
123,0.0005625
124,0.006967
125,0.000603
126,0.000569
127,1.8e-05
