,BER bits
0,0.33349
1,0.260346
2,0.2602375
3,0.174118
4,0.260739
5,0.1742405
6,0.17448
7,0.0889965
8,0.2599095
9,0.174349
10,0.1741305
11,0.0894095
12,0.174539
13,0.089313
14,0.0891045
15,0.02766
16,0.2599565
17,0.174552
18,0.174642
19,0.0914235
20,0.1804055
21,0.0911495
22,0.0913995
23,0.028666
24,0.174352
25,0.0894355
26,0.089282
27,0.028511
28,0.0913805
29,0.0279505
30,0.0285635
31,0.003535
32,0.2603395
33,0.174531
34,0.174417
35,0.088857
36,0.173935
37,0.08906
38,0.091491
39,0.0285535
40,0.174542
41,0.0894295
42,0.089088
43,0.0276705
44,0.08923
45,0.0281225
46,0.027974
47,0.003391
48,0.1742785
49,0.089627
50,0.0889445
51,0.0281705
52,0.0915505
53,0.0286625
54,0.0286895
55,0.003474
56,0.0910385
57,0.0280435
58,0.0281765
59,0.0033835
60,0.028613
61,0.0035195
62,0.003551
63,7.4e-05
64,0.260253
65,0.1743475
66,0.174104
67,0.0894055
68,0.174121
69,0.0894005
70,0.088876
71,0.027419
72,0.1743665
73,0.0914485
74,0.089007
75,0.0284985
76,0.08911
77,0.0280055
78,0.0274235
79,0.0033075
80,0.1743595
81,0.0896915
82,0.089163
83,0.0281375
84,0.0910775
85,0.0281295
86,0.0282755
87,0.0034105
88,0.089248
89,0.028155
90,0.0279545
91,0.003584
92,0.028219
93,0.003421
94,0.0033375
95,7.25e-05
96,0.1749325
97,0.089369
98,0.08903
99,0.0273805
100,0.0892575
101,0.027837
102,0.028142
103,0.003355
104,0.0895355
105,0.0282915
106,0.0276205
107,0.003464
108,0.0281035
109,0.003361
110,0.0036015
111,7.7e-05
112,0.0893605
113,0.0283215
114,0.028272
115,0.0034965
116,0.028003
117,0.003569
118,0.0035015
119,6.5e-05
120,0.0281415
121,0.003425
122,0.003345
123,6.25e-05
124,0.003559
125,7.65e-05
126,6.95e-05
127,5e-07
