,BER bits
0,0.05661
1,0.012635
2,0.012513
3,0.000783
4,0.012576
5,0.000756
6,0.000789
7,6e-06
8,0.012376
9,0.000773
10,0.000699
11,2e-06
12,0.000722
13,5e-06
14,4e-06
15,0.0
16,0.012656
17,0.000777
18,0.000731
19,3e-06
20,0.000751
21,3e-06
22,0.0
23,0.0
24,0.000765
25,2e-06
26,1e-06
27,0.0
28,7e-06
29,0.0
30,0.0
31,0.0
32,0.012611
33,0.000798
34,0.000786
35,4e-06
36,0.000773
37,5e-06
38,5e-06
39,0.0
40,0.000737
41,3e-06
42,5e-06
43,0.0
44,6e-06
45,0.0
46,0.0
47,0.0
48,0.000778
49,3e-06
50,1e-06
51,0.0
52,7e-06
53,0.0
54,0.0
55,0.0
56,1.2e-05
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.012517
65,0.000753
66,0.000833
67,3e-06
68,0.000751
69,2e-06
70,7e-06
71,0.0
72,0.000781
73,3e-06
74,5e-06
75,0.0
76,8e-06
77,0.0
78,0.0
79,0.0
80,0.000782
81,2e-06
82,1e-06
83,0.0
84,1e-06
85,0.0
86,0.0
87,0.0
88,5e-06
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.000737
97,3e-06
98,1e-06
99,0.0
100,3e-06
101,0.0
102,0.0
103,0.0
104,2e-06
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,4e-06
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
