,BER bits
0,0.33559465
1,0.2800294
2,0.28007685
3,0.21619715
4,0.28010375
5,0.21638875
6,0.2162089
7,0.1529259
8,0.2801439
9,0.2162407
10,0.2162632
11,0.15293415
12,0.21645005
13,0.15292915
14,0.15280265
15,0.1043614
16,0.2798025
17,0.21629985
18,0.21622305
19,0.1528853
20,0.21628195
21,0.1530301
22,0.1527341
23,0.10501965
24,0.21639645
25,0.1530969
26,0.15276845
27,0.1054818
28,0.1531235
29,0.10562945
30,0.10051025
31,0.1312042
32,0.2801992
33,0.21632705
34,0.2162003
35,0.15288525
36,0.21623525
37,0.15260805
38,0.15273415
39,0.1049181
40,0.21628935
41,0.15276435
42,0.1527246
43,0.10538265
44,0.1529174
45,0.10521805
46,0.09978135
47,0.1313386
48,0.21678815
49,0.1536631
50,0.1534767
51,0.105792
52,0.1532841
53,0.1051335
54,0.09982525
55,0.1277418
56,0.15487305
57,0.1068966
58,0.1008887
59,0.12073865
60,0.10250305
61,0.11021475
62,0.0630965
63,0.11212665
64,0.2809342
65,0.2192895
66,0.21929835
67,0.15683365
68,0.2194559
69,0.15691115
70,0.15679355
71,0.10924965
72,0.21928525
73,0.1568749
74,0.15662115
75,0.109727
76,0.1569222
77,0.10997205
78,0.10466205
79,0.1305485
80,0.21918355
81,0.156912
82,0.1568868
83,0.10865085
84,0.1566846
85,0.1086295
86,0.10365295
87,0.1245878
88,0.1572049
89,0.10931115
90,0.10363015
91,0.11601885
92,0.104264
93,0.1047945
94,0.0644759
95,0.0936369
96,0.21855585
97,0.16045705
98,0.160349
99,0.11476835
100,0.16041225
101,0.11415245
102,0.10818705
103,0.12305035
104,0.15941075
105,0.11172165
106,0.1071419
107,0.10832695
108,0.1063597
109,0.0969794
110,0.0661944
111,0.07693885
112,0.15409815
113,0.11883235
114,0.10973385
115,0.1084527
116,0.10688865
117,0.08486245
118,0.06722215
119,0.06294965
120,0.09776295
121,0.09158895
122,0.06708405
123,0.05165705
124,0.0566409
125,0.0436929
126,0.03087445
127,0.01678705
