,BER bits
0,0.34266065
1,0.30938675
2,0.3094146
3,0.2622464
4,0.3094289
5,0.26182285
6,0.26199355
7,0.19512045
8,0.3094622
9,0.26198805
10,0.26179715
11,0.19531825
12,0.26204775
13,0.19519805
14,0.19516045
15,0.11754255
16,0.30922045
17,0.26218515
18,0.2621413
19,0.19519235
20,0.26211465
21,0.195095
22,0.19524805
23,0.11798255
24,0.26223555
25,0.1950932
26,0.195193
27,0.1184701
28,0.19572235
29,0.1193776
30,0.11864885
31,0.12841855
32,0.3097158
33,0.2622545
34,0.2624684
35,0.19553895
36,0.2624249
37,0.19543015
38,0.1957038
39,0.1188132
40,0.26229885
41,0.19551885
42,0.19557655
43,0.11950055
44,0.1959399
45,0.1206428
46,0.1188121
47,0.13588635
48,0.2639595
49,0.19728705
50,0.19723425
51,0.12187195
52,0.1974217
53,0.12284405
54,0.11996305
55,0.13711205
56,0.2002332
57,0.1263862
58,0.1223877
59,0.1311093
60,0.12512285
61,0.11696415
62,0.0549618
63,0.0817519
64,0.3183039
65,0.27625295
66,0.27607055
67,0.21423665
68,0.27632325
69,0.2143356
70,0.2143236
71,0.1408138
72,0.27611925
73,0.21444055
74,0.21426875
75,0.1424272
76,0.21495325
77,0.1440447
78,0.13970595
79,0.1666846
80,0.27743635
81,0.2159285
82,0.2159072
83,0.14520475
84,0.21580645
85,0.146366
86,0.13998055
87,0.16462865
88,0.2179504
89,0.1492036
90,0.14140295
91,0.15282445
92,0.1429808
93,0.13369575
94,0.0681344
95,0.0795782
96,0.28528385
97,0.23714355
98,0.237365
99,0.1759531
100,0.2374628
101,0.1772161
102,0.1661687
103,0.1940475
104,0.23724785
105,0.1759883
106,0.16605805
107,0.16918205
108,0.16493935
109,0.1467746
110,0.08741885
111,0.0741838
112,0.2381583
113,0.2117558
114,0.19104915
115,0.19882955
116,0.1860427
117,0.14848105
118,0.10936115
119,0.07205225
120,0.1787378
121,0.19060745
122,0.1301157
123,0.07447015
124,0.11601575
125,0.08268135
126,0.0591521
127,0.0001613
