,BER bits
0,0.50007275
1,0.50020525
2,0.500499
3,0.499855
4,0.49997675
5,0.49990125
6,0.50001925
7,0.5001975
8,0.49989
9,0.499907
10,0.499921
11,0.49973375
12,0.50012575
13,0.500033
14,0.50009875
15,0.4996295
16,0.50045175
17,0.5000305
18,0.49957225
19,0.49955525
20,0.5001695
21,0.500501
22,0.49967025
23,0.5000995
24,0.499996
25,0.5002415
26,0.4998055
27,0.49993175
28,0.49961475
29,0.50045925
30,0.50026475
31,0.499951
32,0.5001425
33,0.4999155
34,0.5001785
35,0.499877
36,0.4997265
37,0.50007475
38,0.50009575
39,0.5001525
40,0.500558
41,0.49985875
42,0.49971925
43,0.49973325
44,0.500132
45,0.5001445
46,0.49984775
47,0.50055725
48,0.50006025
49,0.49988
50,0.4999535
51,0.499919
52,0.49983925
53,0.50003225
54,0.500272
55,0.4996995
56,0.49991475
57,0.4993145
58,0.50007825
59,0.50035525
60,0.500281
61,0.50003325
62,0.50021675
63,0.49401875
64,0.50033425
65,0.5001485
66,0.50035175
67,0.5000405
68,0.50000075
69,0.49996325
70,0.50015925
71,0.50026575
72,0.499821
73,0.4999945
74,0.5001185
75,0.50048725
76,0.4998155
77,0.50008625
78,0.5004575
79,0.49952075
80,0.500031
81,0.5001545
82,0.50019425
83,0.50022275
84,0.4998
85,0.50018325
86,0.49995675
87,0.50015075
88,0.4998745
89,0.4995825
90,0.5003905
91,0.499603
92,0.49974075
93,0.49978075
94,0.4996355
95,0.49133025
96,0.4997215
97,0.4996525
98,0.5003195
99,0.499829
100,0.4998085
101,0.4999185
102,0.49985225
103,0.50007325
104,0.49967125
105,0.4999905
106,0.5000215
107,0.4997575
108,0.50006025
109,0.4997995
110,0.500182
111,0.4873615
112,0.5001705
113,0.500056
114,0.5003915
115,0.499627
116,0.4996335
117,0.4999195
118,0.49962875
119,0.48249375
120,0.500059
121,0.49916875
122,0.49892125
123,0.47556975
124,0.4990595
125,0.4665885
126,0.45842725
127,0.298164
128,0.49971975
129,0.5000515
130,0.5006525
131,0.49985125
132,0.50009125
133,0.5000555
134,0.49979625
135,0.49991125
136,0.49994525
137,0.50025125
138,0.49974625
139,0.4994975
140,0.500341
141,0.4999605
142,0.49963675
143,0.49992
144,0.4993285
145,0.50024325
146,0.49996425
147,0.50004675
148,0.49988225
149,0.49998525
150,0.49984425
151,0.499864
152,0.49993925
153,0.50011975
154,0.49998025
155,0.49956625
156,0.49935925
157,0.49942825
158,0.49926625
159,0.4836265
160,0.500153
161,0.500294
162,0.500031
163,0.49988
164,0.4998265
165,0.49939625
166,0.5002495
167,0.49985675
168,0.49982725
169,0.4998675
170,0.49993625
171,0.499783
172,0.499615
173,0.49942025
174,0.4997215
175,0.47647025
176,0.49967075
177,0.4999885
178,0.499964
179,0.49970475
180,0.500298
181,0.499827
182,0.499439
183,0.46710925
184,0.49996425
185,0.49880275
186,0.49826825
187,0.4544335
188,0.49693475
189,0.4395235
190,0.42383375
191,0.23387075
192,0.500281
193,0.50020525
194,0.5001845
195,0.49965225
196,0.5000875
197,0.49978675
198,0.4995975
199,0.49969175
200,0.500416
201,0.49989675
202,0.50006875
203,0.49887275
204,0.500195
205,0.498907
206,0.49853725
207,0.458318
208,0.5006215
209,0.50005325
210,0.5000205
211,0.4987075
212,0.499948
213,0.497524
214,0.497257
215,0.442124
