,BER bits
0,0.4995775
1,0.50004675
2,0.4998885
3,0.50002375
4,0.49960925
5,0.49985875
6,0.4995465
7,0.5001385
8,0.499619
9,0.49985075
10,0.49966025
11,0.50047525
12,0.50006725
13,0.500055
14,0.49998625
15,0.49997725
16,0.50003975
17,0.5003565
18,0.50012575
19,0.50017825
20,0.500302
21,0.50002575
22,0.50066775
23,0.49999725
24,0.4998055
25,0.4994635
26,0.49971025
27,0.500082
28,0.50017675
29,0.5001815
30,0.49969775
31,0.4997885
32,0.5002695
33,0.49992275
34,0.5002105
35,0.49997075
36,0.49977675
37,0.49998625
38,0.50023225
39,0.49995925
40,0.49985775
41,0.500088
42,0.500099
43,0.4994405
44,0.5002335
45,0.50053125
46,0.49963775
47,0.4996405
48,0.49975425
49,0.49986275
50,0.4994245
51,0.50052275
52,0.500227
53,0.50008175
54,0.49993325
55,0.4996755
56,0.5002415
57,0.49989075
58,0.4999685
59,0.4994865
60,0.50019625
61,0.49945125
62,0.49908675
63,0.483392
64,0.4997935
65,0.500252
66,0.5003145
67,0.50019675
68,0.4998235
69,0.500202
70,0.500345
71,0.49988875
72,0.50003525
73,0.49965725
74,0.49999725
75,0.500234
76,0.50003125
77,0.50025475
78,0.499816
79,0.499549
80,0.50007275
81,0.50020475
82,0.49979725
83,0.50071425
84,0.5001485
85,0.49996975
86,0.50024525
87,0.49951875
88,0.50005725
89,0.499782
90,0.500012
91,0.4991935
92,0.50050025
93,0.49941175
94,0.498608
95,0.47594725
96,0.499915
97,0.4999925
98,0.49982525
99,0.499951
100,0.50035825
101,0.49988325
102,0.50001025
103,0.4991725
104,0.50015075
105,0.500352
106,0.50017525
107,0.499335
108,0.5001225
109,0.498183
110,0.4974525
111,0.46519825
112,0.500381
113,0.4999285
114,0.50034375
115,0.49732775
116,0.49983075
117,0.49649825
118,0.49520925
119,0.45201575
120,0.499766
121,0.4945245
122,0.492363
123,0.43659725
124,0.4881085
125,0.41940275
126,0.39982075
127,0.23148325
128,0.500129
129,0.500269
130,0.500163
131,0.49988575
132,0.5004755
133,0.49949175
134,0.49983275
135,0.499866
136,0.50039725
137,0.50005225
138,0.49999175
139,0.4999735
140,0.500122
141,0.4997395
142,0.50014025
143,0.4994205
144,0.50013375
145,0.50018925
146,0.499604
147,0.49982375
148,0.500484
149,0.500139
150,0.5003915
151,0.49888325
152,0.5001735
153,0.499567
