,BER bits
0,0.4998805
1,0.4999535
2,0.500089
3,0.499749
4,0.50004
5,0.50010275
6,0.49995375
7,0.500182
8,0.49983325
9,0.50029025
10,0.500053
11,0.5005335
12,0.50007125
13,0.50029575
14,0.500133
15,0.50041725
16,0.5001825
17,0.50021075
18,0.5000675
19,0.50058275
20,0.49981075
21,0.500237
22,0.50001775
23,0.49972925
24,0.49976625
25,0.49964825
26,0.500246
27,0.49934925
28,0.4999885
29,0.50011375
30,0.49975125
31,0.500111
32,0.5001305
33,0.49985575
34,0.49977925
35,0.499597
36,0.50013925
37,0.50000725
38,0.500619
39,0.5001155
40,0.500211
41,0.49962975
42,0.5004305
43,0.49976175
44,0.50022325
45,0.500084
46,0.50011975
47,0.4999625
48,0.5003415
49,0.4998045
50,0.50001125
51,0.49982325
52,0.49994825
53,0.50015675
54,0.4999395
55,0.4999185
56,0.5002075
57,0.49997225
58,0.4997125
59,0.4998515
60,0.50027775
61,0.49998675
62,0.49952825
63,0.4901185
64,0.4998185
65,0.50007175
66,0.500467
67,0.5001785
68,0.4997635
69,0.50009725
70,0.50018225
71,0.49942775
72,0.500436
73,0.500349
74,0.5001175
75,0.50043775
76,0.50010075
77,0.50015175
78,0.50031675
79,0.49962625
80,0.499929
81,0.499726
82,0.49982325
83,0.49979675
84,0.5002515
85,0.499973
86,0.50019425
87,0.499812
88,0.5001365
89,0.49983825
90,0.49995
91,0.49990775
92,0.50027
93,0.499235
94,0.5003455
95,0.484617
96,0.4999745
97,0.5003855
98,0.50005375
99,0.500173
100,0.49964725
101,0.49990525
102,0.49995825
103,0.4998105
104,0.49974925
105,0.499968
106,0.5000725
107,0.4998615
108,0.50020725
109,0.49940025
110,0.49904625
111,0.47843725
112,0.500534
113,0.50016825
114,0.5002
115,0.49938175
116,0.50036
117,0.49918175
118,0.498536
119,0.46927825
120,0.50070325
121,0.49789675
122,0.4976495
123,0.4577885
124,0.49564125
125,0.44470825
126,0.4304015
127,0.259613
128,0.49934475
129,0.4999885
130,0.50010225
131,0.49974625
132,0.500111
133,0.5001305
134,0.49985575
135,0.4998385
136,0.499597
137,0.5001395
138,0.50000725
139,0.50065975
140,0.500116
141,0.500271
142,0.4995635
143,0.49947225
144,0.49974975
145,0.5002235
146,0.50008075
147,0.50007075
148,0.49991
149,0.500348
150,0.49980625
151,0.4997415
152,0.4998385
153,0.4999355
154,0.500145
155,0.49942725
156,0.49981625
157,0.49980925
158,0.4992335
159,0.47095475
160,0.50018075
161,0.500267
162,0.499781
163,0.49977225
164,0.500262
165,0.499847
166,0.50009275
167,0.4992305
168,0.5001805
169,0.499941
170,0.50016975
171,0.498715
172,0.4993795
173,0.498348
174,0.497454
175,0.45941175
176,0.500438
177,0.5002485
178,0.50032125
179,0.49795175
180,0.50049
181,0.49665975
182,0.4953205
183,0.44364425
184,0.49993725
185,0.49471825
186,0.49216025
187,0.4248565
188,0.488183
189,0.403588
190,0.380904
191,0.1934255
192,0.50012075
193,0.5002225
194,0.5001525
195,0.500037
196,0.50051325
197,0.499862
198,0.50027475
199,0.49771325
200,0.500185
201,0.49982875
202,0.5004965
203,0.4967385
204,0.5003885
205,0.49534325
206,0.49345875
207,0.43158025
208,0.499629
209,0.5003585
210,0.50009925
211,0.49379875
212,0.4991265
213,0.49133225
214,0.48824875
215,0.407266
216,0.49994525
217,0.48599225
218,0.48115675
219,0.37930075
220,0.471639
221,0.3491765
222,0.31925625
223,0.133024
224,0.499963
225,0.49964675
226,0.49982975
227,0.48686625
228,0.499217
229,0.48105325
230,0.47504875
231,0.3602085
232,0.49838575
233,0.4703225
234,0.459962
235,0.323664
236,0.44270175
237,0.2866075
238,0.25162775
239,0.0842745
240,0.49537575
241,0.44707825
242,0.43006775
243,0.265048
244,0.40329525
245,0.22420675
246,0.18846
247,0.04995425
248,0.36041375
249,0.1727805
250,0.13931775
251,0.02967
252,0.1041415
253,0.01798575
254,0.0115935
255,0.000532
256,0.4995375
257,0.499977
258,0.499798
259,0.4996475
260,0.50003875
261,0.5000265
262,0.500139
263,0.50000625
264,0.4998715
265,0.5001235
266,0.499841
267,0.50030775
268,0.4998455
269,0.49996275
270,0.5002545
271,0.49870725
272,0.49978125
273,0.500428
274,0.49998475
275,0.50046675
276,0.5000325
277,0.49991525
278,0.5001755
279,0.4979365
280,0.5001985
281,0.50018225
282,0.50001975
283,0.497252
284,0.4999185
285,0.4960495
286,0.49463075
287,0.43463225
288,0.50014425
289,0.50016175
290,0.4997145
291,0.5002115
292,0.5002405
293,0.50024875
294,0.50002825
295,0.496541
296,0.49983725
297,0.50002675
298,0.50024125
299,0.49462925
300,0.50011
301,0.49213575
302,0.48935325
303,0.4097685
304,0.49976775
305,0.499929
306,0.499642
307,0.4897625
308,0.4996055
309,0.48606025
310,0.4810595
311,0.37943075
312,0.4988725
313,0.47742025
314,0.4697665
315,0.3457935
316,0.45550275
317,0.31070925
318,0.277687
319,0.10112375
320,0.49963475
321,0.49988225
322,0.49995775
323,0.499845
324,0.499791
325,0.49987175
326,0.4994745
327,0.49055675
328,0.50023125
329,0.4999255
330,0.49977175
331,0.48627375
332,0.49942275
333,0.48094475
334,0.474283
335,0.3595355
336,0.50030825
337,0.49900575
338,0.49904975
339,0.475826
340,0.49816475
341,0.46790175
342,0.45742975
343,0.3180775
344,0.49581225
345,0.44964875
346,0.4351585
347,0.2752415
348,0.41072975
349,0.2352615
350,0.19992775
351,0.05591175
352,0.50016325
353,0.497432
354,0.49625975
355,0.45382925
356,0.49405875
357,0.43782825
358,0.420237
359,0.25140225
360,0.48835475
361,0.40928625
362,0.3856585
363,0.20514125
364,0.3503735
365,0.1651165
366,0.132655
367,0.02813925
368,0.47349175
369,0.36131675
370,0.329835
371,0.146053
372,0.28778425
373,0.11106025
374,0.084577
375,0.0134275
376,0.23346125
377,0.07487425
378,0.054553
379,0.006618
380,0.03703025
381,0.0035
382,0.002121
383,4.8e-05
384,0.5002605
385,0.49981825
386,0.50012225
387,0.49972575
388,0.50013525
389,0.498994
390,0.49876875
391,0.47128775
392,0.49942225
393,0.498199
394,0.49758825
395,0.460364
396,0.4947125
397,0.44665325
398,0.43117725
399,0.26864275
400,0.50045275
401,0.49544475
402,0.4937395
403,0.43623225
404,0.489529
405,0.41644425
406,0.3944135
407,0.21615275
