,BER bits
0,0.50010125
1,0.50000275
2,0.49988125
3,0.50000025
4,0.499757
5,0.50025775
6,0.49997725
7,0.499307
8,0.49988375
9,0.50019525
10,0.5003805
11,0.50016625
12,0.49997275
13,0.49976075
14,0.5000225
15,0.4999465
16,0.50024275
17,0.5000275
18,0.4998815
19,0.500561
20,0.49977075
21,0.499634
22,0.49988225
23,0.50018875
24,0.500009
25,0.49989
26,0.50038575
27,0.50020875
28,0.5002475
29,0.499853
30,0.4998535
31,0.500104
32,0.50030225
33,0.49981875
34,0.49995425
35,0.49968325
36,0.4999035
37,0.49974275
38,0.4997775
39,0.50009975
40,0.50032675
41,0.4999545
42,0.50011925
43,0.49994675
44,0.50014525
45,0.49994125
46,0.5001995
47,0.49974075
48,0.50008525
49,0.499833
50,0.4998205
51,0.50016475
52,0.49973525
53,0.499989
54,0.49995375
55,0.49991775
56,0.49982625
57,0.500139
58,0.499833
59,0.4998375
60,0.49970325
61,0.50020575
62,0.49964025
63,0.48847725
64,0.50023975
65,0.500213
66,0.4999315
67,0.49978975
68,0.499684
69,0.499923
70,0.50017675
71,0.500279
72,0.5001585
73,0.49980575
74,0.50008575
75,0.49999775
76,0.50020475
77,0.5000415
78,0.50022675
79,0.4999215
80,0.49986075
81,0.49995875
82,0.49953775
83,0.49986275
84,0.49982975
85,0.49987225
86,0.4994075
87,0.4998785
88,0.50005675
89,0.5001365
90,0.50022075
91,0.49988875
92,0.4996575
93,0.49949975
94,0.49905125
95,0.482935
96,0.500397
97,0.499868
98,0.500387
99,0.50021825
100,0.499766
101,0.50003725
102,0.50008275
103,0.49943425
104,0.49995925
105,0.500153
106,0.5000205
107,0.49902275
108,0.50000875
109,0.498602
110,0.498762
111,0.475837
112,0.49976075
113,0.50003025
114,0.49987075
115,0.49863225
116,0.49974075
117,0.497711
118,0.497073
119,0.465767
120,0.50025725
121,0.49671575
122,0.49439975
123,0.45491925
124,0.491994
125,0.44158725
126,0.426099
127,0.2743685
128,0.499658
129,0.4997945
130,0.499985
131,0.49956125
132,0.50008925
133,0.49981925
134,0.4998305
135,0.49938725
136,0.5000875
137,0.5000585
138,0.5002915
139,0.4996855
140,0.500116
141,0.5001845
142,0.49988875
143,0.49975025
144,0.499754
145,0.49997075
146,0.5003425
147,0.49998125
148,0.500049
149,0.500046
150,0.499792
151,0.49916375
152,0.4999305
153,0.49980075
154,0.50018975
155,0.49892575
156,0.5000445
157,0.49778425
158,0.49738075
159,0.46780375
160,0.4999015
161,0.50006225
162,0.49981375
163,0.49990175
164,0.50015375
165,0.5002835
166,0.4997455
167,0.4983765
168,0.5001655
169,0.49998475
170,0.50001325
171,0.497711
172,0.49996225
173,0.49642325
174,0.49505375
175,0.454781
176,0.49997325
177,0.49998925
178,0.4994285
179,0.49538075
180,0.4999125
181,0.49321525
182,0.4906985
183,0.43846625
184,0.4990675
185,0.490036
186,0.48646675
187,0.42056
188,0.47988675
189,0.4009035
190,0.378831
191,0.21403025
192,0.49999925
193,0.49956075
194,0.5001025
195,0.4998865
196,0.49996175
197,0.49986925
198,0.49958225
199,0.4949125
200,0.4998165
201,0.4996115
202,0.49980725
203,0.493558
204,0.49903375
205,0.49119625
206,0.48847225
207,0.42684125
208,0.49989625
209,0.4992865
210,0.499218
211,0.48887125
212,0.49899175
213,0.4856685
214,0.4807255
215,0.40286975
216,0.497499
217,0.47800275
218,0.470912
219,0.37800125
220,0.45920675
221,0.3519835
222,0.32478925
223,0.16022775
224,0.49966825
225,0.49853525
226,0.497588
227,0.479151
228,0.49614175
229,0.471745
230,0.46374675
231,0.3604125
232,0.49400025
233,0.45920775
234,0.4478805
235,0.32974025
236,0.43057075
237,0.29889225
238,0.26864275
239,0.115372
240,0.48719575
241,0.43505125
242,0.41776825
243,0.28002825
244,0.3945735
245,0.2458185
246,0.21421825
247,0.07905
248,0.35956725
249,0.2022205
250,0.1715575
251,0.055204
252,0.13829975
253,0.0389425
254,0.027772
255,0.0034715
256,0.50014875
257,0.49982575
258,0.500318
259,0.50002675
260,0.49985675
261,0.5001695
262,0.4999055
263,0.49975
264,0.49961075
265,0.500218
266,0.4994435
267,0.500065
268,0.50048975
269,0.49997025
270,0.5002265
271,0.496936
272,0.500176
273,0.49997025
274,0.5001385
275,0.4996645
276,0.500073
277,0.49966
278,0.499596
279,0.4956395
280,0.50025675
281,0.50002725
282,0.499741
283,0.493946
284,0.49934175
285,0.4914805
286,0.48878675
287,0.427757
288,0.49962725
289,0.50034
290,0.50001
291,0.49979525
292,0.49960725
293,0.49924725
294,0.49928525
295,0.492198
296,0.4999485
297,0.49964925
298,0.49888325
299,0.48953675
300,0.499053
301,0.485466
302,0.48077575
303,0.4027155
304,0.49996875
305,0.4986495
306,0.49796
307,0.48218275
308,0.49744775
309,0.476751
310,0.468852
311,0.3731775
312,0.495577
313,0.4660985
314,0.455251
315,0.3445315
316,0.4397065
317,0.31415625
318,0.28382225
319,0.12656775
320,0.49972025
321,0.4999915
322,0.49982125
323,0.49926875
324,0.499676
325,0.49881675
326,0.49857925
327,0.4825425
328,0.50041725
329,0.4987635
330,0.4972605
331,0.4775205
332,0.49581475
333,0.4701755
334,0.46164625
335,0.3560285
336,0.4991255
337,0.49645325
338,0.494512
339,0.4640225
340,0.49253675
341,0.45344175
342,0.4411955
343,0.31916275
344,0.48754425
345,0.43630275
346,0.41966025
347,0.28465125
348,0.397042
349,0.251809
