,BER bits
0,0.49987525
1,0.50046525
2,0.49998025
3,0.50007125
4,0.50012075
5,0.500056
6,0.499787
7,0.50003
8,0.49958325
9,0.4997005
10,0.500311
11,0.50017325
12,0.49997425
13,0.5001005
14,0.500115
15,0.500036
16,0.50017875
17,0.499558
18,0.50006175
19,0.4997515
20,0.50042875
21,0.50025075
22,0.49990675
23,0.49993675
24,0.50009175
25,0.4998065
26,0.5001925
27,0.50006925
28,0.4996565
29,0.50011625
30,0.5001245
31,0.49991775
32,0.5001755
33,0.49962075
34,0.500147
35,0.4997315
36,0.500241
37,0.5001325
38,0.4996105
39,0.49944025
40,0.50031125
41,0.4999325
42,0.49976625
43,0.5002
44,0.49973025
45,0.49981125
46,0.5000185
47,0.49959675
48,0.5004155
49,0.50017075
50,0.5000515
51,0.5001425
52,0.49978325
53,0.4998255
54,0.49998375
55,0.4989945
56,0.50030425
57,0.5000915
58,0.499699
59,0.4993005
60,0.5004215
61,0.4990935
62,0.4989525
63,0.48149225
64,0.4999245
65,0.499658
66,0.4995555
67,0.50040025
68,0.50040225
69,0.4996465
70,0.49997925
71,0.49966225
72,0.49982325
73,0.50034825
74,0.499744
75,0.5004385
76,0.50004825
77,0.500431
78,0.50037525
79,0.49947875
80,0.4998325
81,0.50004075
82,0.5000105
83,0.50024725
84,0.49996225
85,0.50001775
86,0.49999725
87,0.499581
88,0.49999075
89,0.499813
90,0.500578
91,0.49908925
92,0.499622
93,0.49822
94,0.49735575
95,0.47221275
96,0.499414
97,0.50032375
98,0.50060425
99,0.50023
100,0.499994
101,0.49986275
102,0.49990325
103,0.49809325
104,0.49996775
105,0.5001675
106,0.500079
107,0.49783875
108,0.49959575
109,0.496393
110,0.49519925
111,0.46106925
112,0.50015775
113,0.49958325
114,0.5002595
115,0.4957675
116,0.499266
117,0.49387025
118,0.491858
119,0.4467215
120,0.499088
121,0.49071675
122,0.487028
123,0.43121325
124,0.4816425
125,0.4129795
126,0.39297925
127,0.23681825
128,0.50034275
129,0.5002225
130,0.49980175
131,0.500166
132,0.500006
133,0.500018
134,0.49967325
135,0.4999235
136,0.49936275
137,0.49969425
138,0.499615
139,0.49995925
140,0.50016225
141,0.49959425
142,0.499461
143,0.497954
144,0.4997875
145,0.4996065
146,0.49962125
147,0.49988025
148,0.49977
149,0.5002115
150,0.49992325
151,0.4975005
152,0.49985675
153,0.499957
154,0.499665
155,0.49612425
156,0.4997135
157,0.49470125
158,0.4929425
159,0.4497985
160,0.49992375
161,0.500245
162,0.49981475
163,0.50004325
164,0.4994515
165,0.49960375
166,0.50010625
167,0.49487625
168,0.5001215
169,0.49944125
170,0.49923025
171,0.49269525
172,0.49873425
173,0.4907495
174,0.487381
175,0.43074975
176,0.49956875
177,0.499104
178,0.49913975
179,0.488824
180,0.498137
181,0.48431775
182,0.47969225
183,0.4080425
184,0.49709225
185,0.477511
186,0.46994025
187,0.38563575
188,0.4600725
189,0.36155375
190,0.3354265
191,0.1770665
192,0.50035825
193,0.4999085
194,0.49985175
195,0.49979525
196,0.49985275
197,0.4994205
198,0.4990915
199,0.48832975
200,0.499685
201,0.49896825
202,0.498394
203,0.4844145
204,0.49738625
205,0.48023775
206,0.47460025
207,0.393192
208,0.49919125
209,0.4979575
210,0.496715
211,0.475584
212,0.494843
213,0.46924875
214,0.46036775
215,0.3638565
216,0.491315
217,0.45654575
218,0.44469625
219,0.3349815
220,0.4280135
221,0.30651975
222,0.27682225
223,0.1278905
224,0.49932125
225,0.49426825
226,0.49224975
227,0.45824475
228,0.4893575
229,0.44653325
230,0.43411825
231,0.31442325
232,0.4825035
233,0.4280285
234,0.41177625
235,0.2819145
236,0.38896675
237,0.250719
238,0.2211605
239,0.089642
240,0.46992025
241,0.394718
242,0.3729215
243,0.231583
244,0.34450025
245,0.2002085
246,0.17054825
247,0.06057625
248,0.30704625
249,0.1614705
250,0.134139
251,0.0422495
252,0.10687325
253,0.029604
254,0.02094225
255,0.0028465
256,0.50002675
257,0.499849
258,0.49992675
259,0.500206
260,0.4997885
261,0.500171
262,0.4998325
263,0.49989725
264,0.50020575
265,0.499855
266,0.500457
267,0.4998025
268,0.5000355
269,0.49960375
270,0.49959475
271,0.49293475
272,0.50002075
273,0.499553
274,0.49970425
275,0.499559
276,0.50007225
277,0.499312
278,0.499165
279,0.4894465
280,0.49991575
281,0.49937975
282,0.49794525
283,0.4855005
284,0.497717
285,0.48197325
286,0.47534375
287,0.39472775
288,0.49992175
289,0.50001725
290,0.4998185
291,0.499047
292,0.49995425
293,0.49830075
294,0.4979255
295,0.481947
296,0.499502
297,0.497888
298,0.496244
299,0.4761675
300,0.49515375
301,0.46935725
302,0.46030925
303,0.36312225
304,0.49893025
305,0.49546725
306,0.49313075
307,0.46306575
308,0.4905515
309,0.452968
310,0.44093075
311,0.328054
312,0.48526075
313,0.43655
314,0.4205485
315,0.29557575
316,0.39887975
317,0.26399525
318,0.23275675
319,0.09783425
320,0.49957975
321,0.5001985
322,0.4998505
323,0.49711075
324,0.49966425
325,0.49614125
326,0.49377925
327,0.465211
328,0.49915225
329,0.4938775
330,0.4911635
331,0.45500525
332,0.48762275
333,0.443969
