,BER bits
0,0.50012175
1,0.5000655
2,0.4999545
3,0.50029325
4,0.4995465
5,0.49982125
6,0.50031875
7,0.497658
8,0.499687
9,0.499896
10,0.4995085
11,0.49727625
12,0.50006375
13,0.49684825
14,0.4945715
15,0.439022
16,0.49986425
17,0.499577
18,0.500122
19,0.4936255
20,0.4997335
21,0.4914475
22,0.48753
23,0.402792
24,0.49934625
25,0.484701
26,0.476564
27,0.37052975
28,0.465822
29,0.34204225
30,0.302625
31,0.121095
32,0.50011475
33,0.49975125
34,0.499399
35,0.48470875
36,0.49870375
37,0.4797635
38,0.47071325
39,0.35273325
40,0.49740375
41,0.46489725
42,0.4495135
43,0.30597375
44,0.43035125
45,0.27199175
46,0.23120375
47,0.07483625
48,0.4913145
49,0.43050325
50,0.40325825
51,0.231252
52,0.3757275
53,0.1956035
54,0.1538465
55,0.037324
56,0.32138075
57,0.1424095
58,0.104964
59,0.0204745
60,0.08121625
61,0.012898
62,0.00755525
63,0.00038775
64,0.4996335
65,0.49764375
66,0.4961605
67,0.4540625
68,0.4930975
69,0.44201225
70,0.418694
71,0.25405475
72,0.48683425
73,0.409542
74,0.3781835
75,0.19891275
76,0.347015
77,0.1655735
78,0.12699675
79,0.027181
80,0.4656605
81,0.346327
82,0.30640775
83,0.1301305
84,0.26919425
85,0.100888
86,0.072959
87,0.0114865
88,0.2072585
89,0.06355025
90,0.042142
91,0.0051205
92,0.0303185
93,0.0029965
94,0.0015715
95,4.5e-05
96,0.42908025
97,0.26847525
98,0.223026
99,0.072432
100,0.185578
101,0.051637
102,0.034277
103,0.00378275
104,0.1352315
105,0.02916475
106,0.01874775
107,0.001483
108,0.0126295
109,0.0007755
110,0.000395
111,7.5e-06
112,0.08066425
113,0.01284875
114,0.00677325
115,0.0003765
116,0.00536025
117,0.00020975
118,8.6e-05
119,5e-07
120,0.00280725
121,8.175e-05
122,3.225e-05
123,0.0
124,2.45e-05
125,0.0
126,5e-07
127,0.0
